128.232: [GC [PSYoungGen: 174368K->128K(174464K)] 176633K->2393K(524032K), 0.0004535 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
129.707: [GC [PSYoungGen: 174400K->256K(174464K)] 176665K->2521K(524032K), 0.0004682 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
130.131: [GC [PSYoungGen: 174464K->160K(174464K)] 176729K->2489K(524032K), 0.0004488 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
130.487: [GC [PSYoungGen: 174368K->128K(174464K)] 176697K->2457K(524032K), 0.0004635 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
130.825: [GC [PSYoungGen: 174336K->128K(174464K)] 176665K->2457K(524032K), 0.0004369 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
131.361: [GC [PSYoungGen: 174336K->32K(174464K)] 176665K->2361K(524032K), 0.0005596 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
131.900: [GC [PSYoungGen: 174240K->32K(174464K)] 176569K->2361K(524032K), 0.0004988 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
132.246: [GC [PSYoungGen: 174240K->128K(174464K)] 176569K->2457K(524032K), 0.0004893 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
132.703: [GC [PSYoungGen: 174336K->96K(174464K)] 176665K->2425K(524032K), 0.0006180 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
133.052: [GC [PSYoungGen: 174304K->64K(174464K)] 176633K->2393K(524032K), 0.0005000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
133.389: [GC [PSYoungGen: 174269K->64K(174464K)] 176598K->2393K(524032K), 0.0004928 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
133.826: [GC [PSYoungGen: 174272K->128K(174464K)] 176601K->2457K(524032K), 0.0005698 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
134.457: [GC [PSYoungGen: 174336K->96K(174464K)] 176665K->2425K(524032K), 0.0004673 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
135.111: [GC [PSYoungGen: 174304K->96K(174528K)] 176633K->2425K(524096K), 0.0005850 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
