111.705: [GC [PSYoungGen: 690384K->4976K(692608K)] 740520K->55536K(2090752K), 0.0126359 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
113.219: [GC [PSYoungGen: 691055K->4848K(692480K)] 741614K->55960K(2090624K), 0.0114941 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
114.772: [GC [PSYoungGen: 690928K->4768K(692864K)] 742040K->56288K(2091008K), 0.0120710 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
116.253: [GC [PSYoungGen: 691360K->5248K(692736K)] 742880K->57032K(2090880K), 0.0120853 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
117.762: [GC [PSYoungGen: 691828K->4960K(692992K)] 743612K->57489K(2091136K), 0.0117370 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
119.382: [GC [PSYoungGen: 691782K->4704K(692864K)] 744310K->57801K(2091008K), 0.0112222 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
120.923: [GC [PSYoungGen: 691550K->4896K(693120K)] 744648K->58353K(2091264K), 0.0114292 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
122.521: [GC [PSYoungGen: 692064K->5024K(693056K)] 745521K->58889K(2091200K), 0.0115906 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
124.042: [GC [PSYoungGen: 692192K->4560K(693184K)] 746057K->59090K(2091328K), 0.0114124 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
125.634: [GC [PSYoungGen: 691920K->4624K(693184K)] 746450K->59338K(2091328K), 0.0118141 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
127.168: [GC [PSYoungGen: 691984K->4784K(693312K)] 746698K->59810K(2091456K), 0.0112987 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
